symbol,report_date,period_type,statement_type,item_code,item_name_cn,item_name_en,value,unit,currency,source_doc,source_page,source_section,is_derived,quality_flag,note,updated_at
02618.HK,2021-12-31,FY,balance_sheet,borrowings,借款,Borrowings,0,RMB'000,CNY,2022042901290.pdf,"21,22",Gearing Ratio / Borrowings,false,reported_zero,"Annual report states the Group had no outstanding borrowings as of December 31, 2021.",2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,cash_and_cash_equivalents,现金及现金等价物,Cash and cash equivalents,17922779,RMB'000,CNY,2022042901290.pdf,"20,93,158",Liquidity and Capital Resources / Consolidated Statement of Financial Position / Cash and bank balances,false,reported,Directly reported year-end cash and cash equivalents.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,contract_assets,合同资产,Contract assets,113685,RMB'000,CNY,2022042901290.pdf,93,Consolidated Statement of Financial Position,false,reported,Directly reported contract assets.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,current_assets,流动资产合计,Total current assets,45400867,RMB'000,CNY,2022042901290.pdf,93,Consolidated Statement of Financial Position,false,reported,Directly reported total current assets.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,current_liabilities,流动负债合计,Total current liabilities,24545581,RMB'000,CNY,2022042901290.pdf,94,Consolidated Statement of Financial Position,false,reported,Directly reported total current liabilities.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,inventories,存货,Inventories,683168,RMB'000,CNY,2022042901290.pdf,93,Consolidated Statement of Financial Position,false,reported,Directly reported inventories.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,lease_liabilities,租赁负债,Lease liabilities,15172671,RMB'000,CNY,2022042901290.pdf,"94,169,170",Consolidated Statement of Financial Position / Lease liabilities,true,derived_sum,"Derived as non-current lease liabilities 9,409,162 plus current lease liabilities 5,763,509.",2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,restricted_cash,受限现金,Restricted cash,7316,RMB'000,CNY,2022042901290.pdf,"22,93,158",Pledge of Assets / Consolidated Statement of Financial Position / Cash and bank balances,false,reported,Restricted cash balance at year end.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,term_deposits,定期存款,Term deposits,8412913,RMB'000,CNY,2022042901290.pdf,"21,93,158",Net cash used in investing activities / Consolidated Statement of Financial Position / Cash and bank balances,false,reported,Directly reported term deposits.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,total_assets,资产总计,Total assets,76795068,RMB'000,CNY,2022042901290.pdf,"4,93",Financial Summary / Consolidated Statement of Financial Position,false,reported,Directly reported total assets.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,total_equity,权益总计,Total equity,40389133,RMB'000,CNY,2022042901290.pdf,"4,93",Financial Summary / Consolidated Statement of Financial Position,false,reported,Directly reported total equity.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,total_liabilities,负债总计,Total liabilities,36405935,RMB'000,CNY,2022042901290.pdf,"4,94",Financial Summary / Consolidated Statement of Financial Position,false,reported,Directly reported total liabilities.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,trade_payables,应付账款,Trade payables,6772692,RMB'000,CNY,2022042901290.pdf,"94,168",Consolidated Statement of Financial Position / Trade payables,false,reported,Total trade payables including supplier financing arrangements component.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,balance_sheet,trade_receivables,应收账款,Trade receivables,12164028,RMB'000,CNY,2022042901290.pdf,"93,156,157",Consolidated Statement of Financial Position / Trade receivables,false,reported,Year-end carrying amount after allowance for credit losses.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,cash_flow,capex_net,资本开支净额,Capital expenditures net of related proceeds from disposals,4100000,RMB'000,CNY,2022042901290.pdf,21,Net cash used in investing activities,false,rounded_narrative,Narrative disclosure states capital expenditures of RMB4.1 billion.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,cash_flow,financing_cash_flow,筹资活动现金流量净额,Net cash generated from financing activities,16596681,RMB'000,CNY,2022042901290.pdf,"20,21,98",Liquidity and Capital Resources / Net cash generated from financing activities / Consolidated Statement of Cash Flows,false,reported,Directly reported financing cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,cash_flow,investing_cash_flow,投资活动现金流量净额,Net cash used in investing activities,-11122435,RMB'000,CNY,2022042901290.pdf,"20,21,97",Liquidity and Capital Resources / Net cash used in investing activities / Consolidated Statement of Cash Flows,false,reported,Directly reported investing cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,cash_flow,operating_cash_flow,经营活动现金流量净额,Net cash generated from operating activities,6207337,RMB'000,CNY,2022042901290.pdf,"20,97",Liquidity and Capital Resources / Consolidated Statement of Cash Flows,false,reported,Directly reported operating cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,operating_metric,external_isc_arpc,外部一体化供应链客户ARPC,ARPC of external integrated supply chain customers,341424,RMB/customer,CNY,2022042901290.pdf,"8,16",Management Discussion and Analysis,false,reported,Directly disclosed ARPC.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,operating_metric,external_isc_customer_count,外部一体化供应链客户数,External integrated supply chain customer count,74602,customers,N/A,2022042901290.pdf,"8,9",Management Discussion and Analysis,false,reported,Directly disclosed customer count.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,revenue_breakdown,revenue_external,来自外部客户收入,Revenue from external customers,59100000,RMB'000,CNY,2022042901290.pdf,"5,8",CEO's Statement / Management Discussion and Analysis,false,rounded_narrative,Narrative disclosure states revenue from external customers was RMB59.1 billion in 2021.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,revenue_breakdown,revenue_jd_group,来自京东集团收入,Revenue from JD Group,45593402,RMB'000,CNY,2022042901290.pdf,"5,8",Financial Summary / Management Discussion and Analysis,true,derived_from_rounded,"Derived as total revenue 104,693,402 minus narrative external customer revenue RMB59.1 billion.",2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,segment_metric,revenue_external_integrated_supply_chain,外部一体化供应链客户收入,Revenue from external integrated supply chain customers,25500000,RMB'000,CNY,2022042901290.pdf,9,Integrated supply chain customers,false,rounded_narrative,Narrative disclosure states RMB25.5 billion was from external integrated supply chain customers.,2026-03-21T00:00:00+08:00
